timestamp,A,X,Y,timestamp2,esito_positivo
1465596017,2013,1935,2014,1465596685,2
1467735949,1820,1766,1773,1467737151,2
1467735949,1820,1766,1773,1467737152,2
1467735949,1820,1766,1773,1467737440,2
1467735949,1820,1766,1773,1467737440,2
1467735951,1820,1766,1773,1467737151,2
1467735951,1820,1766,1773,1467737152,2
1467735951,1820,1766,1773,1467737440,2
1467735951,1820,1766,1773,1467737440,2
1467735951,1820,1766,1773,1467737151,2
1467735951,1820,1766,1773,1467737152,2
1467735951,1820,1766,1773,1467737440,2
1467735951,1820,1766,1773,1467737440,2
1469191083,2011,1935,2038,1469191542,2
1469191084,2011,1935,2038,1469191542,2
1470358379,1932,1931,1931,1470359327,2
1470358379,1932,1931,1931,1470359328,2
1470516427,2087,1766,1773,1470516519,2
1470516427,2087,1766,1773,1470516520,2
1470751082,44801,1931,1838,1470751088,2
1470751082,44801,1931,1838,1470751090,2
1470809410,27,1935,1931,1470810357,2
1470832105,44800,1931,1831,1470833729,2
1470832965,44800,1931,1831,1470833729,2
1470833264,44800,1931,1831,1470833729,2
1470841768,44808,1931,1831,1470842458,2
1470841768,44808,1931,1831,1470842486,2
1470843789,44818,1931,1831,1470844424,2
1470843789,44818,1931,1831,1470844424,2
1470886243,44808,1931,1791,1470886295,2
1470886243,44808,1931,1791,1470886295,2
1471095077,1776,1766,1807,1471096647,2
1471095077,1776,1766,1807,1471096647,2
1471095077,1776,1766,1807,1471096647,2
1471095077,1776,1766,1807,1471096647,2
1471120303,1936,1931,1807,1471121554,2
1471120303,1936,1931,1807,1471121555,2
1471120304,1936,1931,1807,1471121554,2
1471120304,1936,1931,1807,1471121555,2
1471178717,44831,1931,1842,1471179100,2
1471178717,44831,1931,1842,1471179106,2
1471440153,1933,1931,1791,1471441323,2
1471440153,1933,1931,1791,1471441327,2
1471440157,1933,1931,1791,1471441323,2
1471440157,1933,1931,1791,1471441327,2
1471440564,1933,1931,1791,1471441323,2
1471440564,1933,1931,1791,1471441327,2
1471440568,1933,1931,1791,1471441323,2
1471440568,1933,1931,1791,1471441327,2
1471440574,1933,1931,1791,1471441323,2
1471440574,1933,1931,1791,1471441327,2
1471440577,1933,1931,1791,1471441323,2
1471440577,1933,1931,1791,1471441327,2
1471448810,44831,1931,1791,1471450388,2
1471448810,44831,1931,1791,1471450389,2
1471448810,44831,1931,1791,1471450473,2
