timestamp,A,X,B,Y,chiamate,p0,p_cappuccio,z,significativo
1467493621,2033,1935,2025,1935,3,4.799936000853322e-05,5.97478640138615e-05,0.0029372160751986,0.4988282220057968
1471470142,45362,18,1959,18,3,0.0005279929600938,5.97478640138615e-05,-0.0288262966784071,0.5114984360624776
1472892551,1938,1931,44826,1931,3,5.3332622231703584e-05,5.97478640138615e-05,0.0057605290283599,0.4977018941230551
1472907915,1933,1931,44826,1931,3,4.2666097785362863e-05,0.0002389914560554,0.3265015182803546,0.3720224703822842
1472907922,1933,1931,44826,1931,3,4.2666097785362863e-05,0.0002389914560554,0.3265015182803546,0.3720224703822842
1472908139,1933,1931,44826,1931,3,4.2666097785362863e-05,0.0002389914560554,0.3265015182803546,0.3720224703822842
1472908145,1933,1931,44826,1931,3,4.2666097785362863e-05,0.0002389914560554,0.3265015182803546,0.3720224703822842
1473171362,1939,1931,44826,1931,3,5.3332622231703584e-05,5.97478640138615e-05,0.0021518092339987,0.4991415529796751
1473457715,2020,1935,27,1935,3,3.733283556219249e-05,0.0001194957280277,0.0871491153908445,0.4652764927133581
1473457716,2020,1935,27,1935,3,3.733283556219249e-05,0.0001194957280277,0.0871491153908445,0.4652764927133581
1473468730,1940,1931,1933,1931,6,0.0002879961600511,0.0001194957280277,-0.0297914383270015,0.5118833065185122
1475064820,44815,1931,35456,1931,3,0.0001013319822402,5.97478640138615e-05,-0.0137016407190703,0.5054659927668512
1476295900,1797,1766,1897,1766,3,0.0,5.97478640138615e-05,inf,0.0
1476353366,1975,18,1959,18,3,0.0005279929600938,5.97478640138615e-05,-0.0864788900352213,0.53445713174596
1477151300,44815,1950,44820,1950,3,7.999893334755537e-06,5.97478640138615e-05,0.1995843311906223,0.4209028415638813
1477703115,44805,1931,44807,1931,3,2.1333048892681432e-05,5.97478640138615e-05,0.0117622908283637,0.4953076330737597
1478087180,43512,1954,43505,1954,3,0.000237330168931,5.97478640138615e-05,-0.0691713109328494,0.5275733705230287
1478088041,34430,1954,43505,1954,3,0.0002293302755963,0.0001194957280277,-0.0668755760485281,0.5266596215053216
1478260765,2010,1954,43517,1954,3,1.3333155557925896e-05,5.97478640138615e-05,0.0254227217864459,0.4898588937994115
1478271744,43511,1954,43518,1954,3,6.666577778962947e-05,5.97478640138615e-05,-0.0080382109802247,0.5032067476859179
1478272397,43505,1954,43518,1954,3,6.666577778962947e-05,5.97478640138615e-05,-0.0079934295121207,0.5031888830388555
1478272584,43516,1954,43518,1954,3,6.666577778962947e-05,0.0002987393200693,0.1333214330565824,0.4469695888904561
1478272587,43516,1954,43518,1954,3,6.666577778962947e-05,0.0002987393200693,0.1333214330565824,0.4469695888904561
1478272715,43516,1954,43518,1954,3,6.666577778962947e-05,0.0002987393200693,0.1333214330565824,0.4469695888904561
1478272716,43516,1954,43518,1954,3,6.666577778962947e-05,0.0002987393200693,0.1333214330565824,0.4469695888904561
1478272717,43516,1954,43518,1954,3,6.666577778962947e-05,0.0002987393200693,0.1333214330565824,0.4469695888904561
1478335254,43505,1954,43521,1954,3,7.999893334755537e-06,5.97478640138615e-05,0.1726028512733691,0.4314818052733782
1478371085,43302,2072,43387,2072,3,5.3332622231703584e-05,5.97478640138615e-05,0.0075056718276373,0.4970056982792166
1478425353,43505,1954,34430,1954,3,0.0002213303822615,5.97478640138615e-05,-0.1024747636118074,0.5408100784487133
1478546347,43518,1954,43507,1954,3,1.3333155557925896e-05,0.0001194957280277,0.156569388270944,0.4377921147838135
1478546361,43518,1954,43507,1954,3,1.3333155557925896e-05,0.0001194957280277,0.156569388270944,0.4377921147838135
1478612382,43394,2072,43391,2072,3,0.0034186210850522,5.97478640138615e-05,-0.099671816155936,0.5396975617287207
1478613377,43391,2072,43394,2072,3,5.333262223170358e-06,5.97478640138615e-05,0.843982560862629,0.1993395753538793
1478791483,46410,1954,34430,1954,3,0.0002239970133731,5.97478640138615e-05,-0.0190104014572878,0.5075835961265529
1478815579,43506,1954,43518,1954,3,7.199904001279984e-05,0.0001792435920415,0.0472924201591515,0.4811400845808624
1478815583,43506,1954,43518,1954,3,7.199904001279984e-05,0.0001792435920415,0.0472924201591515,0.4811400845808624
1478815662,43506,1954,43518,1954,3,7.199904001279984e-05,0.0001792435920415,0.0472924201591515,0.4811400845808624
1478815673,43506,1954,46405,1954,3,0.0001386648178024,0.0002389914560554,0.0318806559188321,0.4872836125691629
1478815685,43506,1954,46405,1954,3,0.0001386648178024,0.0002389914560554,0.0318806559188321,0.4872836125691629
1478815736,43506,1954,46405,1954,3,0.0001386648178024,0.0002389914560554,0.0318806559188321,0.4872836125691629
1478815755,43518,1954,46405,1954,3,0.0001306649244676,0.0002389914560554,0.051036713645084,0.479648132698831
1478815756,43518,1954,46405,1954,3,0.0001306649244676,0.0002389914560554,0.051036713645084,0.479648132698831
1478815786,43506,1954,46405,1954,3,0.0001386648178024,0.0002389914560554,0.0318806559188321,0.4872836125691629
1478817221,45121,1954,43518,1954,3,7.199904001279984e-05,0.0001194957280277,0.0137116978360556,0.4945299954008392
1478817221,45121,1954,46405,1954,3,0.0001306649244676,0.0001194957280277,-0.0023935715761072,0.5009548959910802
1478817223,45121,1954,43518,1954,3,7.199904001279984e-05,0.0001194957280277,0.0137116978360556,0.4945299954008392
1478817223,45121,1954,46405,1954,3,0.0001306649244676,0.0001194957280277,-0.0023935715761072,0.5009548959910802
1478817687,46405,1954,43518,1954,3,6.666577778962947e-05,0.0001194957280277,0.0466600151005936,0.4813920994705795
