timestamp,X,Y,A,Z,chiamate,p0,p_cappuccio,z,significativo
1499858430,68,69,71,68,3,0.0042106105251929,0.0057142857142857,0.8623426853100713,0.194249485021777
1499858498,68,69,71,68,3,0.0042106105251929,0.0057142857142857,0.8623426853100713,0.194249485021777
1500376977,8520,8520,8523,8520,3,0.0017919761069852,0.0028571428571428,0.050369885220542,0.4799138170127695
1510741632,11,11,7769,11,3,0.0001066652444634,0.0057142857142857,0.9404829714406746,0.1734849401463061
1510741669,11,11,7769,11,3,0.0001066652444634,0.0057142857142857,0.9404829714406746,0.1734849401463061
1543521141,8270,1765,1776,8270,3,0.0005039932800895,0.0057142857142857,4.280540921558407,9.32197999625739e-06
1543521142,8270,1765,1776,8270,3,0.0005039932800895,0.0057142857142857,4.280540921558407,9.32197999625739e-06
