timestamp,X,Y,Z,chiamate,p0,p_cappuccio,z,significativo
1464944558,1770,1766,1773,4,0.0035539107704056156,7.238508867173362e-05,-0.2026656112303081,0.5803017981964074
1464960600,1768,1766,1773,4,0.0035539107704056156,0.00016286644951140066,-0.3692988437748016,0.6440475063625642
1464960601,1768,1766,1773,8,0.0035539107704056156,0.00016286644951140066,-0.3692988437748016,0.6440475063625642
1464987693,1766,1773,1766,6,0.00467001497929333,0.0017191458559536734,-0.4877633086482064,0.6871412483534255
1464987694,1766,1773,1766,6,0.00467001497929333,0.0017191458559536734,-0.4877633086482064,0.6871412483534255
1465204833,1779,1766,1773,4,0.003730137750756308,1.8096272167933404e-05,-0.08611461944397307,0.5343123489196069
1465231333,1765,1766,1773,4,0.0027902605222192853,0.0007962359753890697,-0.6415213451670695,0.7394079913459007
1465235722,1766,1773,1766,2,0.00467001497929333,0.0017191458559536734,-0.4877633086482064,0.6871412483534255
1465300424,1780,1766,1780,6,8.811349017534584e-05,8.143322475570033e-05,-0.0012326854731505214,0.5004917702291345
1465300424,1780,1766,1781,4,5.8742326783563894e-05,5.428881650380022e-05,-0.001006468692414535,0.5004015228475154
1465300431,1780,1766,1780,6,8.811349017534584e-05,8.143322475570033e-05,-0.0012326854731505214,0.5004917702291345
1465300431,1780,1766,1781,4,5.8742326783563894e-05,5.428881650380022e-05,-0.001006468692414535,0.5004015228475154
1465300434,1780,1766,1780,6,8.811349017534584e-05,8.143322475570033e-05,-0.0012326854731505214,0.5004917702291345
1465300434,1780,1766,1781,4,5.8742326783563894e-05,5.428881650380022e-05,-0.001006468692414535,0.5004015228475154
1465323970,1781,1766,1781,4,5.8742326783563894e-05,3.619254433586681e-05,-0.00588449957233153,0.5023475621300959
1465323971,1781,1766,1781,4,5.8742326783563894e-05,3.619254433586681e-05,-0.00588449957233153,0.5023475621300959
1465323988,1766,1781,1766,4,0.0001174846535671278,3.619254433586681e-05,-0.010607140770612604,0.504231557577649
1465323992,1766,1781,1766,4,0.0001174846535671278,3.619254433586681e-05,-0.010607140770612604,0.504231557577649
1465490409,1775,1766,1768,24,0.000587423267835639,0.00021715526601520088,-0.16244540323097936,0.5645224404937637
1465563182,2012,1935,2014,2,0.0002349693071342556,9.048136083966702e-06,-0.05314642638475377,0.5211923796045218
1465648525,1786,1766,1787,2,0.0,1.8096272167933404e-05,inf,0.0
1465649569,1786,1766,1787,2,0.0,1.8096272167933404e-05,inf,0.0
1465654139,1787,1766,1787,4,2.937116339178195e-05,1.8096272167933404e-05,-0.0041609084429831454,0.5016599575129325
1465654561,1766,1787,1766,4,0.0001174846535671278,1.8096272167933404e-05,-0.00917002586356762,0.5036582597591508
1465827190,1789,1766,1789,4,0.0002349693071342556,5.428881650380022e-05,-0.057751376871241926,0.5230266654360626
1465827192,1789,1766,1789,8,0.0002349693071342556,5.428881650380022e-05,-0.057751376871241926,0.5230266654360626
1465834048,1770,1766,1789,4,0.0002349693071342556,1.8096272167933404e-05,-0.04901642590568027,0.5195468971529169
1465897519,1791,1766,1791,20,0.0002937116339178195,0.0003257328990228013,0.0059093770278066645,0.4976425133736446
1465897521,1791,1766,1791,20,0.0002937116339178195,0.0003257328990228013,0.0059093770278066645,0.4976425133736446
1465897837,1766,1791,1766,12,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465897839,1766,1791,1766,12,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465897880,1766,1791,1766,12,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465897881,1766,1791,1766,12,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465897932,1791,1766,1791,12,0.0002937116339178195,0.0003257328990228013,0.0059093770278066645,0.4976425133736446
1465897933,1791,1766,1791,12,0.0002937116339178195,0.0003257328990228013,0.0059093770278066645,0.4976425133736446
1465897961,1766,1791,1766,8,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465897962,1766,1791,1766,8,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465897972,1766,1791,1766,8,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465897973,1766,1791,1766,8,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465898000,1791,1766,1791,8,0.0002937116339178195,0.0003257328990228013,0.0059093770278066645,0.4976425133736446
1465898278,1766,1791,1766,4,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1465898280,1766,1791,1766,4,0.0002937116339178195,0.00039811798769453485,0.01926771183282165,0.4923137706849129
1466077506,1775,1766,1773,8,0.0033483126266631424,0.0005700325732899023,-0.5112467252353916,0.6954108479045259
1466077507,1775,1766,1773,4,0.0033483126266631424,0.0005700325732899023,-0.5112467252353916,0.6954108479045259
1466078478,1775,1766,1773,12,0.0033483126266631424,0.0005700325732899023,-0.5112467252353916,0.6954108479045259
1466080433,1798,1766,1773,8,0.003730137750756308,3.619254433586681e-05,-0.12119076118518733,0.5482300291567509
1466095757,1766,1773,1766,12,0.00467001497929333,0.0017191458559536734,-0.4877633086482064,0.6871412483534255
1466166510,1799,1766,1773,4,0.003730137750756308,1.8096272167933404e-05,-0.06089223136813227,0.5242774817816793
1466166510,1799,1766,1786,2,5.8742326783563894e-05,9.048136083966702e-06,-0.006483997009669717,0.5025867224278833
1466179885,1775,1766,1773,12,0.0033483126266631424,0.0005700325732899023,-0.5112467252353916,0.6954108479045259
1466179885,1775,1766,1786,6,2.937116339178195e-05,8.143322475570033e-05,0.1021189603717609,0.45933112574415447
1466182000,1775,1766,1773,12,0.0033483126266631424,0.0005700325732899023,-0.5112467252353916,0.6954108479045259
1466182000,1775,1766,1786,6,2.937116339178195e-05,8.143322475570033e-05,0.1021189603717609,0.45933112574415447
1466184715,1775,1766,1773,8,0.0033483126266631424,0.0005700325732899023,-0.5112467252353916,0.6954108479045259
1466184715,1775,1766,1786,4,2.937116339178195e-05,8.143322475570033e-05,0.1021189603717609,0.45933112574415447
1466184716,1775,1766,1773,4,0.0033483126266631424,0.0005700325732899023,-0.5112467252353916,0.6954108479045259
1466184716,1775,1766,1786,2,2.937116339178195e-05,8.143322475570033e-05,0.1021189603717609,0.45933112574415447
1466185774,1766,1786,1766,2,0.0001762269803506917,9.048136083966702e-06,-0.01781141354249914,0.5071053502426384
1466185795,1786,1766,1773,4,0.0036713954239727437,5.428881650380022e-05,-0.14649407284677482,0.558234315686764
1466201662,1788,1766,1773,4,0.0035245396070138343,0.0007690915671371698,-0.7780127958724322,0.7817192651355482
1466201664,1788,1766,1773,8,0.0035245396070138343,0.0007690915671371698,-0.7780127958724322,0.7817192651355482
1466202988,1773,1766,1773,8,0.0015566716597644429,0.003230184581976113,0.6465659705469575,0.2589564439573585
1466247967,1765,1766,1765,8,0.0009105060651452404,0.0029406442272891784,1.1422948566813702,0.12666573921727997
1466263647,1788,1766,1765,4,0.002672775868652157,0.00016286644951140066,-0.8134614118986078,0.7920232191230426
1466263649,1788,1766,1765,8,0.002672775868652157,0.00016286644951140066,-0.8134614118986078,0.7920232191230426
1466420365,1801,1766,1801,8,0.0002349693071342556,0.00010857763300760044,-0.014283168331383685,0.5056979660055272
1466420367,1801,1766,1801,16,0.0002349693071342556,0.00010857763300760044,-0.014283168331383685,0.5056979660055272
1466429077,2022,1935,2022,2,2.937116339178195e-05,9.048136083966702e-06,-0.00375002535426684,0.501496040160002
1466529814,2024,1935,2024,4,0.0002349693071342556,0.0006514657980456026,0.15610390867138935,0.4379755587308548
1466529815,2024,1935,2024,8,0.0002349693071342556,0.0006514657980456026,0.15610390867138935,0.4379755587308548
1466539268,2024,1935,2024,4,0.0002349693071342556,0.0006514657980456026,0.15610390867138935,0.4379755587308548
1466539269,2024,1935,2024,4,0.0002349693071342556,0.0006514657980456026,0.15610390867138935,0.4379755587308548
1466539270,2024,1935,2024,4,0.0002349693071342556,0.0006514657980456026,0.15610390867138935,0.4379755587308548
1466539290,2024,1935,2024,4,0.0002349693071342556,0.0006514657980456026,0.15610390867138935,0.4379755587308548
1466539291,2024,1935,2024,4,0.0002349693071342556,0.0006514657980456026,0.15610390867138935,0.4379755587308548
1466539292,2024,1935,2024,4,0.0002349693071342556,0.0006514657980456026,0.15610390867138935,0.4379755587308548
1466539348,1935,2024,1935,6,0.0008811349017534586,0.0008686210640608035,-0.0013337079383631395,0.5005320723285804
1466539352,1935,2024,1935,6,0.0008811349017534586,0.0008686210640608035,-0.0013337079383631395,0.5005320723285804
1466723368,2014,1935,2018,2,5.8742326783563894e-05,9.048136083966702e-06,-0.04938065004474464,0.519692025812723
1466748144,2018,1935,2018,2,5.8742326783563894e-05,2.714440825190011e-05,-0.0316680749761221,0.5126316227054138
1466748151,2018,1935,2018,2,5.8742326783563894e-05,2.714440825190011e-05,-0.0316680749761221,0.5126316227054138
1466748158,2018,1935,2018,2,5.8742326783563894e-05,2.714440825190011e-05,-0.0316680749761221,0.5126316227054138
1466756876,1766,1768,1766,6,0.0012335888624548418,5.428881650380022e-05,-0.16459352723756496,0.5653680368767211
1466756887,1766,1768,1766,6,0.0012335888624548418,5.428881650380022e-05,-0.16459352723756496,0.5653680368767211
1466757801,1768,1766,1773,8,0.0035539107704056156,0.00016286644951140066,-0.3692988437748016,0.6440475063625642
1466757802,1768,1766,1773,4,0.0035539107704056156,0.00016286644951140066,-0.3692988437748016,0.6440475063625642
1466770327,1770,1766,1773,4,0.0035539107704056156,7.238508867173362e-05,-0.2026656112303081,0.5803017981964074
1466773989,1773,1766,1773,8,0.0015566716597644429,0.003230184581976113,0.6465659705469575,0.2589564439573585
1466774277,1773,1766,1773,8,0.0015566716597644429,0.003230184581976113,0.6465659705469575,0.2589564439573585
1466791035,1773,1766,1773,8,0.0015566716597644429,0.003230184581976113,0.6465659705469575,0.2589564439573585
1466791168,1773,1766,1773,8,0.0015566716597644429,0.003230184581976113,0.6465659705469575,0.2589564439573585
1466791950,1766,1773,1766,24,0.00467001497929333,0.0017191458559536734,-0.4877633086482064,0.6871412483534255
1466932297,1935,2021,1935,8,0.0002349693071342556,0.0002533478103510677,0.0031725218323461987,0.4987343490286882
1466932316,1935,2021,1935,8,0.0002349693071342556,0.0002533478103510677,0.0031725218323461987,0.4987343490286882
1466932815,1935,2021,1935,8,0.0002349693071342556,0.0002533478103510677,0.0031725218323461987,0.4987343490286882
1466932819,1935,2021,1935,8,0.0002349693071342556,0.0002533478103510677,0.0031725218323461987,0.4987343490286882
1466932824,1935,2021,1935,8,0.0002349693071342556,0.0002533478103510677,0.0031725218323461987,0.4987343490286882
1466932833,1935,2021,1935,8,0.0002349693071342556,0.0002533478103510677,0.0031725218323461987,0.4987343490286882
1466932837,1935,2021,1935,8,0.0002349693071342556,0.0002533478103510677,0.0031725218323461987,0.4987343490286882
1467145952,1788,1766,1775,4,0.0002349693071342556,3.619254433586681e-05,-0.21701516833614776,0.5859017380007819
1467145953,1788,1766,1775,4,0.0002349693071342556,3.619254433586681e-05,-0.21701516833614776,0.5859017380007819
1467148701,1765,1766,1775,8,0.0001762269803506917,0.00010857763300760044,-0.08648920908812321,0.5344612330857736
1467194265,2014,1935,2030,38,0.0,0.00017191458559536734,inf,0.0
1467196047,1809,1766,1773,4,0.003730137750756308,1.8096272167933404e-05,-0.06089223136813227,0.5242774817816793
1467201441,1807,1766,1773,12,0.0035832819337973977,0.00010857763300760044,-0.5297804223495566,0.7018679096925233
1467205062,2030,1935,2030,38,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205067,2030,1935,2030,38,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205075,2030,1935,2030,38,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205099,1935,2030,1935,202,0.003054600992745323,0.008794788273615635,0.4534087860506314,0.3251272054862685
1467205106,2030,1935,2030,36,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205114,2030,1935,2030,36,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205123,2030,1935,2030,36,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205129,2030,1935,2030,36,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205138,2030,1935,2030,36,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205159,1935,2030,1935,192,0.003054600992745323,0.008794788273615635,0.4534087860506314,0.3251272054862685
1467205297,2030,1935,2030,34,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205307,2030,1935,2030,34,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205314,2030,1935,2030,34,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205453,2030,1935,2030,34,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
1467205459,2030,1935,2030,34,0.0005580521044438573,0.009084328628302569,3.681797694182375,0.00011579757843604987
