timestamp,A,X,B,Y,chiamate,p0,p_cappuccio,z,significativo
1464775348,1959,18,1959,18,3,0.00017066439114145145,0.0006103515625,0.4748275807016082,0.3174549363565793
1465667514,2015,1935,2015,1935,3,1.5999786669511075e-05,6.103515625e-05,0.04776792342232062,0.4809506003809363
1465679921,1896,1935,1896,1935,3,2.3999680004266612e-05,1.52587890625e-05,-0.006180858633112635,0.5024657901378206
1465680045,1896,1935,1896,1935,3,2.3999680004266612e-05,1.52587890625e-05,-0.006180858633112635,0.5024657901378206
1465897092,1970,18,1970,18,3,0.0,3.814697265625e-05,inf,0.0
1465898564,1970,18,1970,18,3,0.0,3.814697265625e-05,inf,0.0
1465914168,1970,18,1970,18,3,0.0,3.814697265625e-05,inf,0.0
1465914181,1970,18,1970,18,3,0.0,3.814697265625e-05,inf,0.0
1465916442,2015,1935,2015,1935,3,1.5999786669511075e-05,6.103515625e-05,0.04776792342232062,0.4809506003809363
1465919559,1970,18,1970,18,3,0.0,3.814697265625e-05,inf,0.0
1466450643,2020,1935,2020,1935,3,7.466567112438498e-05,4.57763671875e-05,-0.021667931339119904,0.5086435775758555
1466450644,2020,1935,2020,1935,3,7.466567112438498e-05,4.57763671875e-05,-0.021667931339119904,0.5086435775758555
1466469510,2020,1935,2020,1935,3,7.466567112438498e-05,4.57763671875e-05,-0.021667931339119904,0.5086435775758555
1466469512,2020,1935,2020,1935,3,7.466567112438498e-05,4.57763671875e-05,-0.021667931339119904,0.5086435775758555
1466796443,2015,1935,2015,1935,3,1.5999786669511075e-05,6.103515625e-05,0.04776792342232062,0.4809506003809363
1466797384,2015,1935,2015,1935,3,1.5999786669511075e-05,6.103515625e-05,0.04776792342232062,0.4809506003809363
1466935186,2015,1935,2015,1935,3,1.5999786669511075e-05,6.103515625e-05,0.04776792342232062,0.4809506003809363
1466938863,2015,1935,2015,1935,3,1.5999786669511075e-05,6.103515625e-05,0.04776792342232062,0.4809506003809363
1466944568,2015,1935,2015,1935,3,1.5999786669511075e-05,6.103515625e-05,0.04776792342232062,0.4809506003809363
1466945395,2015,1935,2015,1935,3,1.5999786669511075e-05,6.103515625e-05,0.04776792342232062,0.4809506003809363
1467493621,2033,1935,2033,1935,3,2.666631111585179e-06,7.62939453125e-06,0.005263847611498586,0.4979000383278427
1467732671,1973,18,1973,18,3,0.0,7.62939453125e-06,inf,0.0
1467982171,2011,1935,2011,1935,3,3.199957333902215e-05,1.52587890625e-05,-0.011837790404497114,0.5047224848024112
1467982172,2011,1935,2011,1935,3,3.199957333902215e-05,1.52587890625e-05,-0.011837790404497114,0.5047224848024112
1468110346,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468110348,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468669078,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468669295,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468669731,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468669733,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468672959,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468672961,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468672978,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468672980,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468705448,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468705449,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468705958,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468705960,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468705970,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468705972,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468705979,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468705980,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468710654,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468710656,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468713855,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468713857,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468741460,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468741463,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468741514,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
1468741515,1776,1766,1776,1766,3,7.466567112438498e-05,0.0002899169921875,0.2310206378832589,0.4086493844743368
