timestamp,A,X,Y,chiamate,p0,p_cappuccio,z,significativo
1464971106,1771,1766,1773,4,0.0003333288889481474,9.525926396342043e-05,-0.022589183395049662,0.5090110139860144
1464971108,1771,1766,1773,8,0.0003333288889481474,9.525926396342043e-05,-0.022589183395049662,0.5090110139860144
1465596017,2013,1935,2014,2,2.3999680004266612e-05,1.5876543993903406e-05,-0.0016581591466330724,0.5006615094880904
1467147763,1797,1766,1775,4,2.1333048892681432e-05,3.175308798780681e-05,0.00748245061430665,0.4970149619428844
1467735949,1820,1766,1773,8,0.0003386621511713177,0.00019051852792684087,-0.013945491018065779,0.5055632656665374
1467735951,1820,1766,1773,16,0.0003386621511713177,0.00019051852792684087,-0.013945491018065779,0.5055632656665374
1467817257,1844,1766,1807,4,5.866588445487394e-05,6.350617597561362e-05,0.0008937302241823819,0.4996434532737665
1467825006,1844,1766,1807,4,5.866588445487394e-05,6.350617597561362e-05,0.0008937302241823819,0.4996434532737665
1467889543,1805,1766,1773,4,0.0003386621511713177,3.175308798780681e-05,-0.02358929339765515,0.5094098937963228
1468143734,1776,1766,1829,8,0.0,0.00012701235195122725,inf,0.0
1468143736,1776,1766,1829,8,0.0,0.00012701235195122725,inf,0.0
1468145884,1828,1766,1829,8,1.0666524446340716e-05,0.0002540247039024545,0.14902762940787592,0.4407659156448912
1468145886,1828,1766,1829,8,1.0666524446340716e-05,0.0002540247039024545,0.14902762940787592,0.4407659156448912
1468146048,1828,1766,1829,8,1.0666524446340716e-05,0.0002540247039024545,0.14902762940787592,0.4407659156448912
1468146051,1828,1766,1829,8,1.0666524446340716e-05,0.0002540247039024545,0.14902762940787592,0.4407659156448912
1468741460,1776,1766,1773,2,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468741460,1776,1766,1788,4,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468741460,1776,1766,1807,4,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1468741463,1776,1766,1773,2,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468741463,1776,1766,1788,4,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468741463,1776,1766,1807,4,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1468741514,1776,1766,1773,2,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468741514,1776,1766,1788,4,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468741514,1776,1766,1807,4,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1468741515,1776,1766,1773,2,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468741515,1776,1766,1788,4,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468741515,1776,1766,1807,4,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1468745818,1776,1766,1773,2,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468745818,1776,1766,1788,4,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468745818,1776,1766,1807,4,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1468745820,1776,1766,1773,2,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468745820,1776,1766,1788,4,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468745820,1776,1766,1807,4,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1468750468,1776,1766,1773,2,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468750468,1776,1766,1788,4,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468750468,1776,1766,1807,4,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1468750469,1776,1766,1773,2,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468750469,1776,1766,1788,4,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468750469,1776,1766,1807,4,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1468756225,1776,1766,1773,4,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
1468756225,1776,1766,1788,8,0.00018933080892254768,0.000508049407804909,0.21482612981059854,0.4149514399216533
1468756225,1776,1766,1807,8,3.199957333902215e-05,0.0008890864636585908,1.4051054970084194,0.07999495487934594
1469191083,2011,1935,2038,4,5.0665991120118394e-05,9.525926396342043e-05,0.0250600578977434,0.490003529674292
1469191083,2011,1935,2040,8,7.999893334755537e-06,0.00012701235195122725,0.1683108283589447,0.4331693777940253
1469191084,2011,1935,2038,4,5.0665991120118394e-05,9.525926396342043e-05,0.0250600578977434,0.490003529674292
1469191084,2011,1935,2040,8,7.999893334755537e-06,0.00012701235195122725,0.1683108283589447,0.4331693777940253
1470085193,2036,1935,2039,16,5.333262223170358e-06,0.00012701235195122725,0.30267573903328426,0.3810684942402627
1470126838,1776,1766,1810,8,8.79988266823109e-05,0.00041279014384148864,0.32109556333084466,0.3740689861950661
1470126840,1776,1766,1810,8,8.79988266823109e-05,0.00041279014384148864,0.32109556333084466,0.3740689861950661
1470140136,1940,1931,43752,2,0.0,1.5876543993903406e-05,inf,0.0
1470149220,1776,1766,1773,4,0.00033066225783656217,0.00034928396786587483,0.009498352569682041,0.4962107625425605
