timestamp,X1,A,X2,chiamate,p0,p_cappuccio,z,significativo
0,12,46,12,2,0.002185989385556695,0.002760914239101448,0.15176934295197858,0.43968443138284197
0,27,47,27,2,0.0015174221851630663,0.0061336219743674215,2.401336736089724,0.008167648324481469
0,40,17,40,2,3.0047964062634985e-05,0.014777165984281613,116.37053983549336,0.0
357,37,44,37,8,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
680,40,6,40,4,4.882794160178184e-05,0.014479112742560434,90.13610504441573,0.0
1087,40,6,40,2,4.882794160178184e-05,0.014479112742560434,90.13610504441573,0.0
1431,39,45,39,4,0.0007962710476598268,0.019922506157152492,26.37493927754951,0.0
1757,14,47,14,4,0.0042592989058785075,0.008627856997192025,1.2204217052867217,0.11115252665640685
2084,37,44,37,6,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
2100,14,47,14,2,0.0042592989058785075,0.008627856997192025,1.2204217052867217,0.11115252665640685
2774,37,42,37,2,0.0008338310027381206,0.017224339968939715,21.95609778708093,0.0
3546,37,44,37,4,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
3799,39,45,39,4,0.0007962710476598268,0.019922506157152492,26.37493927754951,0.0
4627,37,47,37,2,0.0006310072453153347,0.02014212433526284,30.58918288848001,0.0
7318,12,42,12,4,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
7836,39,47,39,2,0.0008976829263712201,0.024534487897469686,31.451948452562,0.0
8857,12,42,12,4,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
9131,12,42,12,2,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
10403,41,43,41,4,0.0013371344007872571,0.028095439785401667,29.35415360935844,0.0
10462,38,46,38,4,0.00137845035137338,0.025930632029742568,26.64314973127951,0.0
11075,41,43,41,2,0.0013371344007872571,0.028095439785401667,29.35415360935844,0.0
12226,38,42,38,2,0.0005821793037135527,0.01747533217249439,27.25932532678778,0.0
14164,14,44,14,2,0.0017240019380936821,0.0029805324172117904,0.3878830144167356,0.34905130425643593
15405,40,10,40,2,3.755995507829373e-05,0.012643732254066856,89.66143044899222,0.0
16780,20,43,20,4,0.0014986422076239195,0.0014588921831615606,-0.009305099397216004,0.5037121440035561
16854,37,45,37,14,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
17150,30,46,30,4,0.0015474701492257015,0.005474767440036394,2.079040144157943,0.018806830422398946
17213,36,43,36,2,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
17881,30,46,30,2,0.0015474701492257015,0.005474767440036394,2.079040144157943,0.018806830422398946
17885,38,42,38,2,0.0005821793037135527,0.01747533217249439,27.25932532678778,0.0
17902,37,45,37,14,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
18074,41,44,41,2,0.0018103898347737574,0.042229438248074416,40.618599514366736,0.0
