timestamp,A1,X,A2,chiamate,p0,p_cappuccio,z,significativo
0,7,38,7,6,0.005401121540258638,0.011319553885319432,1.5864791984150088,0.05631532360441838
0,8,36,8,2,0.007474431060580451,0.021169232634258697,3.796061587113032,7.350649552928523e-05
0,16,36,16,6,0.007632182871909286,0.024669656928112498,4.9254548556515525,4.208217053713881e-07
0,17,40,17,2,0.0053147336435785605,0.011395320644926658,1.621645176719012,0.052439671822332556
0,44,13,44,2,1.1267986523488118e-05,0.00331858407079646,23.605376761893588,0.0
606,6,40,6,6,0.005461217468383908,0.011198327069947871,1.529435625298329,0.0630782432132575
630,47,18,47,2,1.1267986523488118e-05,0.0031670505515820103,22.621720994856304,0.0
860,6,40,6,4,0.005461217468383908,0.011198327069947871,1.529435625298329,0.0630782432132575
1244,44,37,44,6,0.001998189610165226,0.03544369014425991,31.223283553646656,0.0
1469,6,40,6,2,0.005461217468383908,0.011198327069947871,1.529435625298329,0.0630782432132575
1752,47,14,47,6,1.8779977539146866e-05,0.011789307794884228,104.63318186952564,0.0
1963,47,14,47,4,1.8779977539146866e-05,0.011789307794884228,104.63318186952564,0.0
2146,47,14,47,2,1.8779977539146866e-05,0.011789307794884228,104.63318186952564,0.0
2915,44,37,44,4,0.001998189610165226,0.03544369014425991,31.223283553646656,0.0
4105,42,37,42,2,0.0031325002535296967,0.017244514486604436,7.160655069788411,4.014566457044566e-13
4181,46,31,46,2,0.0006422752318388228,0.004682385743726513,3.9256220349745945,4.3252949464500645e-05
4240,44,37,44,2,0.001998189610165226,0.03544369014425991,31.223283553646656,0.0
4296,44,37,44,2,0.001998189610165226,0.03544369014425991,31.223283553646656,0.0
5837,43,41,43,4,0.002475201039659557,0.026442599102921568,17.12139203034157,0.0
6749,42,12,42,6,1.1267986523488118e-05,0.025866771729906656,410.551750117295,0.0
7314,43,41,43,4,0.002475201039659557,0.026442599102921568,17.12139203034157,0.0
8195,42,12,42,4,1.1267986523488118e-05,0.025866771729906656,410.551750117295,0.0
9026,42,12,42,2,1.1267986523488118e-05,0.025866771729906656,410.551750117295,0.0
10637,43,41,43,2,0.002475201039659557,0.026442599102921568,17.12139203034157,0.0
12357,43,36,43,2,0.0025390529632926557,0.026488059158685903,16.858756139527447,0.0
12963,47,37,47,4,0.0032902520648585305,0.01715359437507577,6.919584817270489,2.2648549702353193e-12
13330,44,14,44,4,3.0047964062634985e-05,0.004349012001454722,19.08963557937866,0.0
13410,43,41,43,2,0.002475201039659557,0.026442599102921568,17.12139203034157,0.0
14267,44,14,44,2,3.0047964062634985e-05,0.004349012001454722,19.08963557937866,0.0
16052,43,20,43,2,3.7559955078293715e-06,0.0022123893805309734,24.601119716378232,0.0
16801,46,30,46,6,0.000736175119534557,0.005879500545520669,4.816074655927301,7.320488260020852e-07
17120,47,29,47,2,0.0005934472902370409,0.004985452782155413,4.450505570335513,4.283418572059716e-06
17405,46,30,46,4,0.000736175119534557,0.005879500545520669,4.816074655927301,7.320488260020852e-07
18149,46,30,46,2,0.000736175119534557,0.005879500545520669,4.816074655927301,7.320488260020852e-07
18261,45,37,45,10,0.003271472087319384,0.018775003030670385,8.163093703060527,1.1102230246251565e-16
18384,42,38,42,2,0.003451759871695193,0.01486543823493757,5.093325888169087,1.7591807977002105e-07
18763,43,36,43,4,0.0025390529632926557,0.026488059158685903,16.858756139527447,0.0
19046,45,37,45,8,0.003271472087319384,0.018775003030670385,8.163093703060527,1.1102230246251565e-16
19671,47,38,47,2,0.003124988262514038,0.01891138319796339,8.069574135616433,3.3306690738754696e-16
20490,45,37,45,6,0.003271472087319384,0.018775003030670385,8.163093703060527,1.1102230246251565e-16
20738,46,40,46,2,0.002554076945323973,0.02200266698993817,13.236326074881676,0.0
22841,42,36,42,2,0.003263960096303725,0.014607831252273003,5.413870808291555,3.0838336884109196e-08
23313,45,37,45,4,0.003271472087319384,0.018775003030670385,8.163093703060527,1.1102230246251565e-16
23517,44,41,44,2,0.002144673434970572,0.039141108013092486,33.73133036360444,0.0
23832,10,40,10,4,0.0054987774234622035,0.010016365620075159,1.1526458948685352,0.12452787869808768
24227,45,37,45,2,0.003271472087319384,0.018775003030670385,8.163093703060527,1.1102230246251565e-16
24364,47,41,47,6,0.003203864168178455,0.017032367559704206,7.054000269041794,8.691936059790351e-13
24474,45,37,45,2,0.003271472087319384,0.018775003030670385,8.163093703060527,1.1102230246251565e-16
24847,10,40,10,2,0.0054987774234622035,0.010016365620075159,1.1526458948685352,0.12452787869808768
25125,47,41,47,6,0.003203864168178455,0.017032367559704206,7.054000269041794,8.691936059790351e-13
25824,43,40,43,4,0.002524028981261339,0.02510910413383441,16.066003757523465,0.0
26424,46,39,46,2,0.0024977370127065327,0.027033579827857927,18.007231136718683,0.0
26471,47,41,47,4,0.003203864168178455,0.017032367559704206,7.054000269041794,8.691936059790351e-13
27305,45,40,45,4,0.003098696293959233,0.01894168990180628,8.402945501404783,0.0
28640,45,36,45,2,0.003102452289467061,0.017683961692326344,7.526416858478428,2.609024107869118e-14
31776,42,38,42,8,0.003451759871695193,0.01486543823493757,5.093325888169087,1.7591807977002105e-07
32343,45,15,45,4,2.629196855480561e-05,0.0062431809916353494,37.703399441562354,0.0
33796,45,20,45,2,3.7559955078293715e-06,0.002439689659352649,27.33595879502831,0.0
35708,43,41,43,2,0.002475201039659557,0.026442599102921568,17.12139203034157,0.0
36928,46,38,46,6,0.002681780792590172,0.025018184022305733,15.023717610258243,0.0
37398,43,36,43,6,0.0025390529632926557,0.026488059158685903,16.858756139527447,0.0
