timestamp,event_type,n_1a,n_1b,n_2,n_3a,n_3b,n_3c,n_4a,n_4b,n_4c,n_4d,n_1_comune,n_2_comune
1464775348,9,0,0,0,0,0,0,0,0,0,1,0,0
1465300424,1,0,7,0,0,0,0,0,0,0,0,0,3
1465300431,1,0,7,0,0,0,0,0,0,0,0,0,3
1465300434,1,0,7,0,0,0,0,0,0,0,0,0,3
1465323970,1,0,7,0,0,0,0,0,0,0,0,0,3
1465323971,1,0,7,0,0,0,0,0,0,0,0,0,3
1465323988,1,0,7,0,0,0,0,0,0,0,0,0,3
1465323992,1,0,7,0,0,0,0,0,0,0,0,0,3
1465596017,2,0,0,1,0,0,0,0,0,0,0,0,0
1465654139,1,0,2,0,0,0,0,0,0,0,3,3,1
1465654561,1,0,2,0,0,0,0,0,0,0,3,3,1
1465667514,9,0,2,0,0,0,0,0,0,0,3,3,1
1465679921,9,0,2,0,0,0,0,0,0,0,3,3,1
1465680045,9,0,2,0,0,0,0,0,0,0,3,3,1
1465834048,0,1,0,0,0,0,0,0,0,0,0,0,0
1465897519,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897521,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897837,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897839,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897880,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897881,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897932,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897933,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897961,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897962,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897972,1,0,13,0,0,0,0,0,0,0,0,0,2
1465897973,1,0,13,0,0,0,0,0,0,0,0,0,2
1465898000,1,0,13,0,0,0,0,0,0,0,0,0,2
1466184715,0,3,2,0,0,0,0,0,0,0,0,2,2
1466184716,0,3,2,0,0,0,0,0,0,0,0,2,2
1466185774,1,3,2,0,0,0,0,0,0,0,0,2,2
1466201664,0,3,2,0,0,0,0,0,0,0,0,2,2
1466202988,1,3,2,0,0,0,0,0,0,0,0,2,2
1466469510,9,0,0,0,0,0,0,0,0,0,2,2,0
1466469512,9,0,0,0,0,0,0,0,0,0,2,2,0
1466539268,1,0,8,0,0,0,0,0,0,0,0,0,2
1466539269,1,0,8,0,0,0,0,0,0,0,0,0,2
1466539270,1,0,8,0,0,0,0,0,0,0,0,0,2
1466539290,1,0,8,0,0,0,0,0,0,0,0,0,2
1466539291,1,0,8,0,0,0,0,0,0,0,0,0,2
1466539292,1,0,8,0,0,0,0,0,0,0,0,0,2
1466539348,1,0,8,0,0,0,0,0,0,0,0,0,2
1466539352,1,0,8,0,0,0,0,0,0,0,0,0,2
1466748144,1,0,7,0,0,0,0,0,0,0,0,2,3
1466748151,1,0,7,0,0,0,0,0,0,0,0,2,3
1466748158,1,0,7,0,0,0,0,0,0,0,0,2,3
1466756876,1,0,8,0,0,0,0,0,0,0,2,2,4
1466756887,1,0,8,0,0,0,0,0,0,0,2,2,4
1466791035,1,0,8,0,0,0,0,0,0,0,2,2,4
1466791168,1,0,8,0,0,0,0,0,0,0,2,2,4
1466791950,1,0,5,0,0,0,0,0,0,0,2,3,2
1466796443,9,0,5,0,0,0,0,0,0,0,2,3,2
1466797384,9,0,5,0,0,0,0,0,0,0,2,3,2
1466932297,1,0,7,0,0,0,0,0,0,0,0,0,2
1466932316,1,0,7,0,0,0,0,0,0,0,0,0,2
1466932815,1,0,7,0,0,0,0,0,0,0,0,0,2
1466932819,1,0,7,0,0,0,0,0,0,0,0,0,2
1466932824,1,0,7,0,0,0,0,0,0,0,0,0,2
1466932833,1,0,7,0,0,0,0,0,0,0,0,0,2
1466932837,1,0,7,0,0,0,0,0,0,0,0,0,2
1467205062,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205067,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205075,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205099,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205106,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205114,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205123,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205129,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205138,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205159,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205297,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205307,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205314,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205453,1,1,122,0,0,0,0,0,0,0,0,0,2
1467205459,1,1,122,0,0,0,0,0,0,0,0,0,2
