timestamp,A,X,Y,chiamate,p0,p_cappuccio,z,significativo
1465596017,2013,1935,2014,2,2.1333048892681432e-05,0.00017123287671232877,0.032454827271780416,0.48705466982487633
1467735949,1820,1766,1773,8,0.000327995626724977,0.002054794520547945,0.1651732056559595,0.4344038271809314
1467735951,1820,1766,1773,16,0.000327995626724977,0.002054794520547945,0.1651732056559595,0.4344038271809314
1469191083,2011,1935,2038,2,5.599925334328875e-05,0.0003424657534246576,0.15312809356074847,0.4391486308389133
1469191084,2011,1935,2038,2,5.599925334328875e-05,0.0003424657534246576,0.15312809356074847,0.4391486308389133
1470358379,1932,1931,1931,4,2.1333048892681432e-05,0.0003424657534246576,0.2866732471239293,0.3871812619403856
1470516427,2087,1766,1773,4,0.0003386621511713177,0.0003424657534246576,0.0008006283167002522,0.49968059554770494
1470751082,44801,1931,1838,4,0.00037332835562192506,0.0003424657534246576,-0.0031952006095216697,0.5012746984485377
1470809410,27,1935,1931,2,5.3332622231703584e-05,0.00017123287671232877,0.06457878152490333,0.4742546896640276
1470832105,44800,1931,1831,2,2.6666311115851792e-05,0.0005136986301369864,0.4001458838627569,0.344524535286743
1470832965,44800,1931,1831,2,2.6666311115851792e-05,0.0005136986301369864,0.4001458838627569,0.344524535286743
1470833264,44800,1931,1831,2,2.6666311115851792e-05,0.0005136986301369864,0.4001458838627569,0.344524535286743
1470841768,44808,1931,1831,4,2.1333048892681432e-05,0.0003424657534246576,0.2781139006895893,0.39046246265996243
1470843789,44818,1931,1831,4,2.1333048892681432e-05,0.0003424657534246576,0.2601517327199291,0.39737336716614735
1470886243,44808,1931,1791,4,0.00033599552005973254,0.0003424657534246576,0.0014121673478841444,0.49943662692517465
1471095077,1776,1766,1807,8,5.3332622231703584e-05,0.0006849315068493152,0.8020578479710652,0.21125974826753546
1471120303,1936,1931,1807,4,1.8666417781096245e-05,0.0006849315068493152,0.6721983169193082,0.2507287261714298
1471120304,1936,1931,1807,4,1.8666417781096245e-05,0.0006849315068493152,0.6721983169193082,0.2507287261714298
1471178717,44831,1931,1842,4,0.00014399808002559967,0.0003424657534246576,0.1991712733619979,0.42106438487871223
1471440153,1933,1931,1791,4,0.00033599552005973254,0.002054794520547945,1.0187610338266544,0.1541582144861413
1471440157,1933,1931,1791,4,0.00033599552005973254,0.002054794520547945,1.0187610338266544,0.1541582144861413
1471440564,1933,1931,1791,4,0.00033599552005973254,0.002054794520547945,1.0187610338266544,0.1541582144861413
1471440568,1933,1931,1791,4,0.00033599552005973254,0.002054794520547945,1.0187610338266544,0.1541582144861413
1471440574,1933,1931,1791,4,0.00033599552005973254,0.002054794520547945,1.0187610338266544,0.1541582144861413
1471440577,1933,1931,1791,4,0.00033599552005973254,0.002054794520547945,1.0187610338266544,0.1541582144861413
1471448810,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448811,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448812,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448813,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448817,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448825,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448826,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448827,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448828,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448831,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448838,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448839,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448840,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448841,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448844,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448853,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448854,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448855,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448856,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448859,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448867,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448868,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448869,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448872,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448880,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448881,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448882,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448883,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
1471448886,44831,1931,1791,12,0.00031999573339022144,0.05856164383561644,39.211644856728775,0.0
