timestamp,u1,u2,u3,chiamate,p0,p_cappuccio,z,significativo,evento,u4
1470574374,1773,1766,1849,4,0.0,5.896574090453446e-05,inf,0.0,1a,
1472074589,1765,1766,1767,4,0.0,0.000117931481809,inf,0.0,1a,
1472074590,1765,1766,1767,4,0.0,0.000117931481809,inf,0.0,1a,
1478459725,2102,2050,2099,2,0.0,2.948287045226723e-05,inf,0.0,1a,
1485175092,2071,34458,2058,16,0.0,0.0002358629636181,inf,0.0,1a,
1485397497,8042,2030,8171,84,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485397649,8042,2030,8171,124,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485397682,8042,2030,8171,134,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485397767,8042,2030,8171,156,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485397874,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485397909,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485397942,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485397972,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398010,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398042,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398075,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398115,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398154,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398187,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398228,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398278,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398317,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398397,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1485398454,8042,2030,8171,186,0.0027315181954357,0.0484698390235273,3.819872975175513,6.676020901685842e-05,1a,
1490987806,34513,8171,34572,4,0.0,5.896574090453446e-05,inf,0.0,1a,
1494776041,34713,34697,35639,2,0.0,2.948287045226723e-05,inf,0.0,1a,
1495126113,1765,8270,9044,12,0.0,0.0001768972227136,inf,0.0,1a,
1495419893,34791,35708,34735,6,0.0,0.0002653458340704,inf,0.0,1a,
1495420813,34791,35708,34735,4,0.0,0.0002653458340704,inf,0.0,1a,
1495420835,34791,35708,34735,4,0.0,0.0002653458340704,inf,0.0,1a,
1495420898,34791,35708,34735,4,0.0,0.0002653458340704,inf,0.0,1a,
1496134373,34713,34749,35104,2,0.0,2.948287045226723e-05,inf,0.0,1a,
1498639078,1765,1773,1786,6,0.0,8.844861135680171e-05,inf,0.0,1a,
1465300424,1780,1766,1780,6,0.0,0.0002653458340704,inf,0.0,1b,
1465300431,1780,1766,1780,6,0.0,0.0002653458340704,inf,0.0,1b,
1465300434,1780,1766,1780,6,0.0,0.0002653458340704,inf,0.0,1b,
1467205062,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205067,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205075,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205099,1935,2030,1935,150,8.811349017534584e-05,0.0243233681231204,11.254399310208504,0.0,1b,
1467205106,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205114,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205123,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205129,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205138,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205159,1935,2030,1935,152,8.811349017534584e-05,0.0243233681231204,11.254399310208504,0.0,1b,
1467205297,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205307,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205314,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205453,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205459,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205465,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205470,2030,1935,2030,28,0.0,0.0252078542366884,inf,0.0,1b,
1467205477,1935,2030,1935,144,8.811349017534584e-05,0.0243233681231204,11.254399310208504,0.0,1b,
1467205486,2030,1935,2030,26,0.0,0.0252078542366884,inf,0.0,1b,
1467205495,2030,1935,2030,26,0.0,0.0252078542366884,inf,0.0,1b,
1467205500,2030,1935,2030,26,0.0,0.0252078542366884,inf,0.0,1b,
1467205509,2030,1935,2030,26,0.0,0.0252078542366884,inf,0.0,1b,
1467205517,2030,1935,2030,26,0.0,0.0252078542366884,inf,0.0,1b,
